SUMMARY_NR,REPORT_ID,EVENT_DATE,EVENT_TIME,EVENT_DESC,EVENT_KEYWORD,CONST_END_USE,BUILD_STORIES,NONBUILD_HT,PROJECT_COST,PROJECT_TYPE,SIC_LIST,FATALITY,STATE_FLAG,ABSTRACT_TEXT,LOAD_DT
201202207,1054114,2003-06-04 14:00:00+00:00,,Employee amputates finger and thumb in chain drive,"CHAIN,AMPUTATED,FINGER,THUMB,SPROCKET",,,,,,2436,,,,2019-07-22 00:18:30+00:00
201202215,1054114,2003-07-08 14:00:00+00:00,,Employee injures head when struck by truck transmission,"HEAD,REPAIR,AUTOMOTIVE REPAIR,ENGINE,LACERATION,TRUCK,STRUCK BY,HAND TOOL,FACE,FALLING OBJECT",,,,,,5511,,,,2019-07-22 00:18:30+00:00
201202223,1054114,2003-07-24 11:10:00+00:00,,Employee injures hip in fall onto concrete floor,"LOADING,FRACTURE,SAW,FALL,STRUCK BY,HIP,CART,TABLE SAW",,,,,,2511,,,,2019-07-22 00:18:30+00:00
201202231,1054114,2003-06-16 05:20:00+00:00,,Employee fractures back when struck by falling material,"FRACTURE,BACK,INDUSTRIAL TRUCK,STORAGE RACK,STRUCK BY,FALLING OBJECT,STORAGE AREA",,,,,,2436,,,,2019-07-22 00:18:30+00:00
201202249,1054114,2003-09-05 09:00:00+00:00,,Employee killed after being struck by tree,"TREE FELLING,TREE,STRUCK BY,FALLING OBJECT",,,,,,2411,X,,,2019-07-22 00:18:30+00:00
201202256,1054114,2003-09-12 11:00:00+00:00,,Employee Fractures Foot When Caught in Harrow,"TENDON,AGRICULTURE,LIGAMENT,CAUGHT BY,FOOT,LEG",,,,,,191,,,,2019-07-22 00:18:30+00:00
201202264,1054114,2003-09-22 16:15:00+00:00,,Employee suffers electric shock from power line,"OVERHEAD POWER LINE,ELECTRICAL,POWER LINE WORKER,STRUCK AGAINST,CONSTRUCTION,ELEC UTILITY WORK,ELECTRIC SHOCK,AERIAL LIFT",O,,,B,C,1623,,,,2019-07-22 00:18:30+00:00
201202272,1054114,2003-06-20 21:30:00+00:00,,Employee's Arm Caught in Press Rolls,"GLOVE,CLEANING,MACHINE OPERATOR,CAUGHT BETWEEN,COATING OPERATION,ARM,ELBOW,HAND,WRIST",,,,,,1721,,,,2019-07-22 00:18:30+00:00
201202280,1054114,2003-07-08 12:00:00+00:00,,Employee jumps from moving truck,"FRACTURE,SPINE,STRUCK AGAINST,INDUSTRIAL TRUCK,NECK",I,,,C,E,1611,,,,2019-07-22 00:18:30+00:00
201202298,1054114,2003-09-17 08:05:00+00:00,,Employee's Legs Are Fractured by Falling Timber,"FRACTURE,STRUCK BY,FALLING OBJECT,RAILROAD,LEG",,,,,,2491,,,,2019-07-22 00:18:30+00:00
201202306,1054114,2003-10-07 19:00:00+00:00,,Employee injured by electric shock from power line,"OVERHEAD POWER LINE,ELECTRICAL,WORK RULES,CONSTRUCTION,ELEC CIRC PART--MISC,ELEC UTILITY WORK,ELECTRIC SHOCK",A,1.0,50.0,A,C,1623,,,,2019-07-22 00:18:30+00:00
201202314,1054114,2003-09-17 07:05:00+00:00,,Employee injured in fall from roof,"HEAD,WORK RULES,SLIP,ROOF,CONSTRUCTION,FALL,FALL PROTECTION,SLIPPERY SURFACE,WORK SURFACE",A,2.0,,A,C,"7363,1761",,,,2019-07-22 00:18:30+00:00
201202322,1054114,2003-10-21 15:30:00+00:00,,Employee injured when arm caught by conveyor rollers,"FRACTURE,WORK RULES,CLEANING,FOREARM,CAUGHT BY,CONSTRUCTION,ROLLER CONVEYOR,CONVEYOR,HAND TOOL,NIP POINT",I,,,D,A,1771,,,,2019-07-22 00:18:30+00:00
201202330,1054114,2003-10-28 03:30:00+00:00,,Employee's amputates hand and forearm when caught in machine,"AMPUTATED,FOOD PREPARATION,SCREW CONVEYOR,CLEANING,LOCKOUT,CAUGHT BETWEEN,ARM,BLADE,HAND",,,,,,2037,,,,2019-07-22 00:18:30+00:00
201202348,1054114,2003-10-15 10:00:00+00:00,,Employee Fractures Arm When Caught by Lathe,"FRACTURE,LATHE,ROTATING PARTS,SHOULDER,ROTATING SHAFT,GLOVE,FOREARM,CAUGHT BY,LACERATION,NECK",,,,,,3599,,,,2019-07-22 00:18:30+00:00
201202355,1054114,2003-09-23 14:30:00+00:00,,Employee is struck by a log and injured,"FRACTURE,STRUCK BY,LOGGING",,,,,,2411,,,,2019-07-22 00:18:30+00:00
201202363,1054114,2003-11-04 08:00:00+00:00,,Employee Goes Into Cardiac Arrest and Is Hospitalized,"CHEST,FIREFIGHTER,FIRE,CARDIAC ARREST",,,,,,9224,,,,2019-07-22 00:18:30+00:00
201202371,1054114,2003-07-16 11:30:00+00:00,,Employee Is Injured in Fall from Tree,"FRACTURE,BACK,TREE,FALL,HIP",,,,,,851,,,,2019-07-22 00:18:30+00:00
201202389,1054114,2003-11-11 13:45:00+00:00,,Employee injured from flying object while operating a saw,"SPLINTER,WOOD CHIPS,WORK RULES,MACHINE OPERATOR,SAW,LACERATION,STRUCK BY,FLYING OBJECT,FACE",,,,,,2421,,,,2019-07-22 00:18:30+00:00
201202397,1054114,2003-11-10 09:00:00+00:00,,Employee injured by forklift,"PINNED,DRIVER,THIGH,INDUSTRIAL TRUCK,LACERATION,STRUCK BY,GEAR,LEG",,,,,,2411,,,,2019-07-22 00:18:30+00:00
201202405,1054114,2003-09-19 11:00:00+00:00,,Logger's Arm Is Fractured by Falling Log,"FRACTURE,LOG,STUCK,HELICOPTER,LOGGER,STRUCK BY,ARM,FALLING OBJECT,LOGGING",,,,,,2411,,,,2019-07-22 00:18:30+00:00
201202413,1054114,2003-11-05 10:00:00+00:00,,Employee sufferes fracture after fall through unguarded hole,"FRACTURE,WALL,UNGUARDED FL OPENING,FLOOR HOLE,WALKING BACKWARD,VERTEBRA",A,2.0,,C,A,1521,,,,2019-07-22 00:18:30+00:00
201202421,1054114,2003-12-18 13:00:00+00:00,,Employee receives injuries from rotating shaft,"CLOTHING,FRACTURE,ROTATING SHAFT,CAUGHT BY,DISLOCATED,ARM,UNGUARDED,WRIST",,,,,,2499,,,,2019-07-22 00:18:30+00:00
201202439,1054114,2003-10-22 17:00:00+00:00,,Employee is injured while operating hot press,"FRACTURE,AMPUTATED,FINGER,LOCKOUT,CAUGHT BETWEEN,CRUSHED,ARM,PRESS OPERATOR,PRESS",,,,,,2679,,,,2019-07-22 00:18:30+00:00
201202447,1054114,2003-12-22 16:45:00+00:00,,Employee is injured when struck by forklift,"FRACTURE,CRUSHED,INDUSTRIAL TRUCK,STRUCK BY,RUN OVER,BACKING UP,LEG",,,,,,2436,,,,2019-07-22 00:18:30+00:00
