SUMMARY_NR,LINE_NR,ABSTRACT_TEXT,LOAD_DT
221736861,8,"ambulance, but  Employee #1 could not be revived. It was determined that",2026-09-03 00:19:10+00:00
221736861,9,Employee #1 died from a possible cardiovascular and pulmonary failure.,2026-09-03 00:19:10+00:00
221736887,1,"At 1:35 p.m. on January 21, 2025, an employee working for a chemical products",2026-09-03 00:19:10+00:00
221736887,2,wholesaler was adding air pressure to a pipe. The pressure forced a small amount,2026-09-03 00:19:10+00:00
221736887,3,of sodium hydroxide out of the pipe. The employee was hospitalized to treat,2026-09-03 00:19:10+00:00
221736887,4,chemical burns to his face.,2026-09-03 00:19:10+00:00
221736895,1,"At 10:30 a.m. on January 22, 2025,  Employee #1 was working for a residential",2026-09-03 00:19:10+00:00
221736895,2,remodeler was performing light demolition by removing existing HVAC ducts.,2026-09-03 00:19:10+00:00
221736895,3,Coworkers found Employee #1 on the floor  where he was working. He was lying,2026-09-03 00:19:10+00:00
221736895,4,next to a 10-foot step ladder. It was believed the employee fell from the 9th,2026-09-03 00:19:10+00:00
221736895,5,rung of the ladder.  Employee #1 was fatally injured.,2026-09-03 00:19:10+00:00
221736911,1,"At 10:43 a.m. on January 23, 2025, Employee #1 working as a laborer for a",2026-09-03 00:19:10+00:00
221736911,2,"landscaping service was finishing breakfast while sitting on a zero turn, John",2026-09-03 00:19:10+00:00
221736911,3,Deere mower. A coworker (foreman) found him unresponsive still sitting on the,2026-09-03 00:19:10+00:00
221736911,4,mower. It was determined that the employee had died from carbon monoxide,2026-09-03 00:19:10+00:00
221736911,5,exposure from the vehicle's exhaust.,2026-09-03 00:19:10+00:00
221737083,1,"At 11:00 a.m. on January 18, 2025, Employee #1 had been assembling a new rotary",2026-09-03 00:19:10+00:00
221737083,2,evaporator with Coworker #1 and Coworker #2. The process did not involve the use,2026-09-03 00:19:10+00:00
221737083,3,of any hazardous chemicals. The employee was performing the work in a laboratory,2026-09-03 00:19:10+00:00
221737083,4,adjacent to her office. The employee went into her office and about five minutes,2026-09-03 00:19:10+00:00
221737083,5,"later, Coworker #1 and Coworker #2 heard a loud sound and investigated. They",2026-09-03 00:19:10+00:00
221737083,6,found Employee #1 had collapsed and had a seizure. Emergency medical services,2026-09-03 00:19:10+00:00
221737083,7,and transported the Employee #1 to the hospital. She was evaluated and based on,2026-09-03 00:19:10+00:00
221737083,8,"her symptoms and the initial assessment from her care team, toxicology testing",2026-09-03 00:19:10+00:00
221737083,9,"was ordered due to a potential exposure to cyanide. At 3:47 p.m. on January 18,",2026-09-03 00:19:10+00:00
221737083,10,"2025, Employee #1 died from possible cyanide poisoning.",2026-09-03 00:19:10+00:00
221737091,1,"At 8:00 a.m. on January 24, 2025,  Employee #1 was working as an assembler for",2026-09-03 00:19:10+00:00
221737091,2,an industrial furnace and oven manufacturer was working inside a powder coating,2026-09-03 00:19:10+00:00
221737091,3,"booth. The facility powder coats metal parts with a variety of products, that",2026-09-03 00:19:10+00:00
221716210,1,"At approximately 11:00 a.m. on November 4, 2024, an employee was removing large",2026-09-03 00:19:10+00:00
221716210,2,pieces of telecommunication wire from a tower at an approximate height of 140,2026-09-03 00:19:10+00:00
221716210,3,feet. The employee was cutting the wire using a Sawzall when he fell from the,2026-09-03 00:19:10+00:00
221716210,4,tower. The employee sustained a broken leg and blunt force trauma and was,2026-09-03 00:19:10+00:00
221716210,5,pronounced dead as a result of the injuries.,2026-09-03 00:19:10+00:00
221716244,1,"At 9:30 p.m. on November 4, 2024, an employee was working from the basket of a",2026-09-03 00:19:10+00:00
221716244,2,"Genie S-40 Telescopic Boom Lift, preparing to hang tarps to paint the underside",2026-09-03 00:19:10+00:00
221716244,3,of an overpass on Westbound I-90/94 near exit 50-B. A tractor-trailer struck the,2026-09-03 00:19:10+00:00
221716244,4,"basket of the aerial lift, causing the employee to be thrown against a nearby",2026-09-03 00:19:10+00:00
221716244,5,structural steel beam. The employee sustained blunt force injuries and was,2026-09-03 00:19:10+00:00
221716244,6,"transported to a hospital, where he was declared dead.",2026-09-03 00:19:10+00:00
221716269,1,"At 1:45 p.m. on November 6, 2024, Employee #1 was part of a work convoy",2026-09-03 00:19:10+00:00
221716269,2,performing roadside maintenance on an expressway. He exited his vehicle to place,2026-09-03 00:19:10+00:00
221716269,3,flares in the roadway when he was struck by an oncoming vehicle. The employee,2026-09-03 00:19:10+00:00
221716269,4,sustained fatal injuries.,2026-09-03 00:19:10+00:00
221716335,1,"At 2:45 p.m. on November 6, 2024, Employee #1 was edging the right side of a",2026-09-03 00:19:10+00:00
221716335,2,grassy area adjacent to a sidewalk when a Jeep left the roadway and entered the,2026-09-03 00:19:10+00:00
221716335,3,"sidewalk. The vehicle struck the employee, causing multiple blunt force trauma",2026-09-03 00:19:10+00:00
221716335,4,injuries. The employee sustained fatal injuries.,2026-09-03 00:19:10+00:00
221716582,1,"At 12:00 a.m. on May 23, 2024, Employee #1 was operating a Blanchard Caterpillar",2026-09-03 00:19:10+00:00
221716582,2,"D9T Bulldozer, pushing coal from the coal pile into the feeder. Employee #1 had",2026-09-03 00:19:10+00:00
221716582,3,"turned off the bulldozer's GPS system, which typically provides location",2026-09-03 00:19:10+00:00
221716582,4,tracking and alarms when the bulldozer nears the feeder or the edge of the coal,2026-09-03 00:19:10+00:00
221716582,5,"pile. While driving, Employee #1 drove the bulldozer over the edge of the coal",2026-09-03 00:19:10+00:00
221716582,6,"pile, into the feeder, and was engulfed by coal. The employee died from",2026-09-03 00:19:10+00:00
221716582,7,traumatic chest injuries.,2026-09-03 00:19:10+00:00
221716632,1,"At 2:00 p.m. on November 7, 2024, Employee #1 was cutting a downed tree branch",2026-09-03 00:19:10+00:00
221716632,2,beneath a tree scheduled for removal. A 500-pound branch was cut from a height,2026-09-03 00:19:10+00:00
221716632,3,"of approximately 20 feet. The branch fell to the ground, bounced, and then",2026-09-03 00:19:10+00:00
221716632,4,"struck the employee, who was working below. The employee sustained fatal",2026-09-03 00:19:10+00:00
221716632,5,internal injuries and head trauma.,2026-09-03 00:19:10+00:00
221717028,1,"At 12:00 a.m. on October 11, 2024, Employee #1, a commercial truck driver, was",2026-09-03 00:19:10+00:00
221717028,2,found pinned between his truck and the loading dock. The employee sustained,2026-09-03 00:19:10+00:00
221717028,3,fatal injuries.,2026-09-03 00:19:10+00:00
221717077,1,"At 4:00 p.m. on June 25, 2024, Employee #1, employed on a residential reroofing",2026-09-03 00:19:10+00:00
221717077,2,"project in Minneapolis, MN, was working on the roof with other employees. The",2026-09-03 00:19:10+00:00
221717077,3,"employee was not tied off when he fell backwards, slid down the roof, and landed",2026-09-03 00:19:10+00:00
221717077,4,"on the back of his head and neck, sustaining fatal injuries. Weather conditions",2026-09-03 00:19:10+00:00
221717077,5,did not play a role in the incident.,2026-09-03 00:19:10+00:00
221717085,1,"At 8:47 a.m. on November 7, 2024, Employee #1 was working on a roof attempting",2026-09-03 00:19:10+00:00
221717085,2,"to locate and repair a leak. While on the roof, he fell through a skylight and",2026-09-03 00:19:10+00:00
221717085,3,landed on the concrete floor. The employee sustained fatal head trauma.,2026-09-03 00:19:10+00:00
221717135,1,"At 10:15 a.m. on November 8, 2024, Employee #1 was performing landscaping work",2026-09-03 00:19:10+00:00
221717135,2,at a residential property along the shoreline of Lake Erie. He was operating an,2026-09-03 00:19:10+00:00
